,Text,Sentiment
52,disappoint experi share everi busi travel meet neverflyvirgin,0
53,troubl ad flight wife book elev account help,0
54,site back,0
55,like tv interest video disappoint cancel flightl flight flight went jfk saturday,0
56,land lax hour late flight bag check not busi travel friendli nomorevirgin,0
57,websit btw new websit great user experi time anoth redesign,0
58,check add bag websit work tri desktop mobil,0
59,let scan passeng leav plane told someon remov bag st class bin uncomfort,0
60,phone number find call flight reserv,0
61,anyon anyth today websit useless one answer phone,0
62,must travel miss flight late flight check bag miss morn appoint lost busi sfo lax,0
63,direct flight fll gt sfo unexpect layov vega fuel yet peep next bought vega flight sneaki,0
64,late flight bag check lost busi miss flight apt three peopl flight exp,0
65,amaz custom servic raeann sf best customerservic virginamerica fli,1
66,call servic line hung awesom sarcasm,0
67,site trip tri check get plain text version reluct enter card info,0
68,getaway deal may one way lot cool citi cheapflight farecompar,1
69,getaway deal may one way lot cool citi cheapflight farecompar,1
70,great week,1
71,come back phl alreadi need take us horribl cold pleasecomeback,1
72,concern fli plane need delay due tech stop,0
73,best airlin flown easi chang reserv help repres amp comfort fli experi,1
74,anoth rep kick butt naelah repres team beauti thank,1
75,beauti front end design right cool still book ticket b c back end secur,1
76,love team run gate e la tonight wait delay flight kept thing entertain,1
77,use anoth browser amp brand reput built tech respons cross browser compat websit,0
78,flight flight book problem site total folk problem,0
79,like custom servic min delay connect passeng seem long va,0
80,thank outstand nyc jfk crew move mountain get home san francisco tonight,1
81,absolut best team custom servic ever everi time fli delight thank,1
82,need chang flight that schedul hour min wait time phone im call intern help,0
83,complet awesom experi last month bo la nonstop thank awesom flight depart time vabeatsjblu,1
84,fail custom check process not link tsa pre check,0
85,us terribl airlin gave us hotel hotlin number said sorri,0
86,assist yesterday u cancel flightl flight give us hotel hotlin shame,0
87,anoth delay flight likingyoulessandless,0
88,need regist servic dog first class ticket sfo gt dull phone queue hour longer pl advis,0
89,rock make watch oscar flight redcarpet oscar oscar,1
90,alway xoxo,1
91,book seat flight buy even check creat much anxieti frustrat,0
92,think pay extra buck rt luggag might afford hire extra hand lame,0
93,best custom servic rep world irmafromdalla take cake,1
94,pleas provid statu flight cant imagin time web indic dude weather dalla,0
95,amaz staff amp super help ran princesshalf spoil comfort,1
96,paid premium fli across countri cancel flight flight offer check fee upgrad love sad face,0
97,question not possibl book seat infant not give option want seat,0
98,alway togeth welcom rt welcom,1
99,flight home dc sunset globe backtowint back work refresh,1
100,understand need dm give answer damag luggag polici,0
101,mean polici destroy luggag,0
102,thank check ticket purchas custom happi,1
103,problem flight book problem web site keep give error contact phone phone minut wait,0
104,reschedul cancel flightl flight onlin chang button grey,0
105,rang wait minut book ticket vendor fix site,0
106,got flight told today check email tomorrow unaccept,0
107,flight lga cancel flight stuck dalla call reschedul told could get flight today,0
108,pair includ red wine white offer redwineisbett,0
109,websit,0
110,site seem littl wonk right may want look tri two browser css,0
111,disappoint agent design silver statu check line close assist paseng,0
112,normal receiv repli central baggag baggageissu smh,0
113,logan airport wait checkin flight checkin desk not open,0
114,congrat got busi ewr sfo lax fuck fl sfo ewr clincher,0
115,appli week ago heard back fli week disappoint,0
116,thank follow,1
117,mani apolog r wors airlin even respond cudtom,0
118,shame va make peopl spend money strand citi airlin land jfk reimburs,0
119,bad say take day via confirm email inquir week claim week,0
120,flight bo gt la tomorrow cancel flightl notif wait time hour rebook anoth airlin,0
121,rt met match got statu anoth airlin upgrad restr,1
122,way fli elev gold,1
123,lot apolog thrown custom see sad thank noth worst airlin ever,0
124,flight stuff wrong noth worst flight ever,0
125,match americanairlin statu cool,1
126,tri book flight guy websit let lose busi,0
127,suck,0
128,thank,1
129,dm issu persist,0
130,never rec cancel flightlat notic left w option fli ps drive la red eye mon w kid,0
131,tri book flight amp site,0
132,flight fli boston tomorrow need home cancel flightl flight anyth,0
133,stink flight cancel flight psp jfk notif abil rebook disappoint expect better,0
134,love guy song danc high school danc revu,1
135,websit tri check,0
136,done thank quick respons appar faster sit hold,1
137,cool pictur anoth virginamerica plane wing site,1
138,keep great work,1
139,good peopl field amaz pressur texa beatstheoth crisi pleas fli ny,1
140,thank great flight la boston pilot great job land snow go back la serious,1
141,thank much awesom support guy rock,1
142,seat row reclin mention websit soreback,0
143,flight delay hour la due mechan problem handl like pro could toss us free drink,0
144,cancel flight flight today precipit scare,0
145,twitter team guy kill reschedul asap thank,1
146,guy charg reschedul flight cancel flight refus refund deal,0
147,access websit safari iphon seem work mac ipad need iphon add passbook,0
148,mobil site broken show header elevateus numofpointsavail number point let checkin,0
149,realli look forward flight let know reschedul diehardvirgin,0
150,cancel flight flight vx one sec delay airport next cancel flightl gonna email call reschedul,0
151,problem link email check thank,0
152,chang anoth airlin get dc today abl land dc not cost ugh,0
153,look forward first flight today cancel flightl along subsequ one,0
154,put great deal pdx la la pdx show love,1
155,wish afford fli next friday go back home love everyth airlin,1
156,gonna deal dalla dc deal dc dalla sad,0
157,hold time call center bit much,0
158,like,1
159,site help,0
160,best flight attend ever,1
161,awesom rt watch nomin film feet meetthefleet oscar,1
162,thank much,1
163,tri reset password email never arriv help,0
164,airlin base silicon valley disrupt fcmostinnov incub,1
165,nice done,1
166,look forward watch oscar flight home tomorrow might even get someth bubbl drink,1
167,reason delay departur vx jfk afternoon,0
168,today flight palm spring ca jfk ny cancel flightl,0
169,hahaha guy amaz love guy,1
170,sound like fun,1
171,css site right pleas fix site unus,0
172,flight vega boston today check onlin bag count regist fix somehow,0
173,classiq luv virgin america greetingz,1
174,hi tri check websit not work tri differ browser problem continu,0
175,thank great custom servic today amp help get travel sort,1
176,thank guy sweet rout rocki airplanemodewason,1
177,love music blast gate boston wait flight sanfrancisco could get ice coffe,1
178,passeng flt assault flown trust ban crew file report,0
179,current bug websit show select departur citi select destin citi,0
180,luggag sever dent miss wheel come baggag claim san luggag agent miranda think help,0
181,thank easi itinerari shift impend weather quick painless amp free,1
182,thank good time back vodkaton entir flight sfo,1
183,great job ad littl luxuri aesthet improv air travel experi thank keep,1
184,request window seat confirm window got stuck middl seat not good way treat silver member,0
185,wtf paid direct flight purpos not stop fuel exhaust frequent flier noth inconveni,0
186,someth wrong websit safari iphon,0
187,thank gate check baggag full flight dfw lax give earli board sweet,1
188,alreadi check page expir x,0
189,boo not refund seat upgrad fee not want buy first place,0
190,see,1
191,inflight team make experi amaz,1
192,cutest salt pepper shaker ever think guy get better,1
193,move seat notic better seat cabin select not behind row select disappoint,0
194,fav airlin,1
195,hot femal pilot sweet dca sfo,1
196,alreadi contact central baggag amp sent dm charg dress lost suitcas help,0
197,thank,1
198,anyth go websit get lot error past minut,0
199,check flight sfo lax amp told atlant fli club gold get benefit,0
200,husband order three drink via screen never came awesom,0
201,soooo guy go leav seatbelt light flight bare call turbul,0
202,funni stori websit broken miss javascript stylesheet checkin process dislik,0
203,would love virgin like,1
204,tri check ct flight tmm desktop websit not work sort cach bug so,0
205,guy know check link email broken,0
206,love wait monday return flight mostli watch inflight safeti video sorrynotsorri,1
207,lost luggag day ago flight vx lax iad amp call everi day respons pleas give back stuff,0
208,flight book problem section websit seem broken chrome might wanna look,0
209,hi want see new rout plan year newark love fli guy hope,1
210,mean probabl inappropri board,1
211,happi spend day togeth let,1
212,understand help thx comp,1
213,thank absolut,1
214,look like broken link asset http co oardjjgrrd,0
215,manag itinerari section websit seem broken http co pujvcelng,0
216,check site look like everi time load,0
217,carrier less half price round trip fare stun,0
218,wtf happen pdx late flight march one way sfo,0
219,free drink flight back free promo,1
220,thank,1
221,luggag gone file paperwork promis call email still resolut respons central luggag,0
222,thank,1
223,thank take care flight rockstar travel,1
224,thank love soft view travel san sfo,1
225,request mileag challeng statu sever week ago onlin heard back get help,0
226,tri book ticket nyc face super fun broken style worri keep tri,0
227,appli statu match feb got confirm email day still news though guy drop ball late flightli,0
228,ador look forward flight austin two week,1
229,glad mention took first virgin flight year back transform experi,1
230,tri check look like site,0
231,spend birthday night dal dca get home,0
232,sent coupl messag email provid avail tri next year cheer,0
233,first time fli virgin went sanfrancisco thank smooth ride easili new fav airlin,1
234,serious though not direct flight sfo fll may,0
235,fine alreadi done purchas tri go way go back,0
236,not realli experi hope ws forc check small carri w noth empti cabin space board,0
237,wjere luggag slow lax,0
238,spoke repres offer solut loyal custom fli well,0
239,deepli disappoint birthday promo not appli trip book mere day receiv email,0
240,happen direct flight sfo fll look may see connect help dontdothistom,0
241,promot product problem southwest recommend noneoth best,1
242,love guy pl get direct rout la au,1
243,cours work obsess entir virgin famili,1
244,ok first time fli tonight,1
245,emboss badg patch superior one current use,0
246,vx jfk la dirti plane not standard,0
247,flight vx head la jfk dirtiest va plane ever sad great airlin,0
248,got squar away someon pick soon tweet tweet sooner,1
249,avi rental continu button work websit book car tri time phone suck,0
250,delay,0
251,current minut hold cust servic need anyth add lap child reserv,0
252,cours fun celebr thank happi chines new year,1
253,flight book problem last second flight next week sfo san chanc want gift promo code sinc love guy,1
254,comen bank joke pleas chang noth constant problem bank,0
255,grandma ella th would lt bday greet flight crew stewardess eastern airlin,1
256,bought tix atx dalla rout thank ad love yr airlin amp yr websit best transact site ever,1
257,gave credit late flight flight yesterday great servic wow moment unexpect gestur,1
258,submit statu match request back still heard fli monday look acceler,0
259,safeti video love first cross countri flight livewelltravel sytycd,1
260,look fat look yummi,1
261,omg omg nonstop dalla austin virgin,1
262,plane realli pretti thought u know,1
263,pull hair tri book flight u site work iphon ipad comput help,0
264,thank,1
265,get help support ticket day incid thank,0
266,good home texa moodlight,1
267,cannot even open laptop seat c paid premium let,0
268,seat c cannot even open laptop paid extra seat,0
269,thank need way make austin trip dca come,1
270,cool never ur plane,1
271,great well deserv,1
272,fyi info com email address say contact password reset email exist email bounc,0
273,statu match week gone news flt next week hope flt count toward requir cust svc help,0
274,websit suck donkey dick thought know best,0
275,crap channel pay watch uk tv,0
276,got set thank,1
277,giant virgin america match made heaven,1
278,thank good also see friday nwk gt sf boom,1
279,come iphon app still use make wast paper,0
280,back seat entertain system not accept credit card apostroph surnam apostrophefail,0
281,vx use lga slot instead today ad au make less like,0
282,luv ur peopl product thing u charg herbal tea not black tea not caffein drinker,1
283,thank see soon excit see expans destin spread wing,1
284,sad learn longer fli sfo gt phl hope return,0
285,incred custom servic ever experienc refresh,1
286,dream realli open rout dalla austin mean houston might next,1
287,omg final,1
288,kinda suck earphon jack work flight may want look futur passeng,0
289,poor experi first comput problem seat malfunct stuck miss meet san diego,0
290,thankyou dal au rout make day,1
291,awesom deal dal au way http co xcvqxykg,1
292,love take backyard consum win biz compet,1
293,fli love austin excel news,1
294,congrat vx new rout,1
295,tri offer charg addit k new ticket strand thur st time last time,0
296,never bad experi one took cake extort carri item well,0
297,spend hour worri item carryon would broken stolen sinc carri plane lock bag,0
298,group e told room bin got plane room least bag row,0
299,thank make flight lax jfk nightmar forc check carri bag gate,0
300,lot flight book site not work phone wait minut,0
301,flight artisan chees wine pair,1
302,classi,1
303,sure lot jfk lhr flight go lot faster mph strong tailwind,1
304,minu minut elev silver upgrad window open freeneversuck,1
305,take year fli home dalla get shit togeth,0
306,would rough trip luckili virginamerica flight weather,1
307,anoth perfect flight come plane sun visor stay carrier make rais,1
308,nice rt man steel might faster wifi say sciencebehindtheexperi,1
309,love danc littl richard cool bean,1
310,use passbook still love though lt use email futur,1
311,thank free birthday point right,1
312,man steel fli citi though frequenc,0
313,thank much share ad site,1
314,dad segway best part whole infograph,1
315,plan short haul airlin europ would defiantli fli guy,1
316,wifi better seat,1
317,start flight scold use overhead bin offer person seat next,0
318,not great return call day ask myvxexperi,1
319,airlin cancel flight flight bo help custom get home virgin say good luck,0
320,group virgin other bo weather expos actual cu serv model never flight book problem virgin,0
321,one travel affect boston storm shock virgin complet apathi toward custom,0
322,umm reason someon differ contact contact get definit answer,0
323,tri make chang advanc not hour prior tri onlin earlier want chang fee,0
324,loyal drive nyc pa fli virgin sinc cut philli flight,1
325,guy perfect alway lt wervirgin,1
326,thank best custom servic left industri,1
327,realli wish fli fargo fare amaz,1
328,mood light point reclin seat kickin feet,0
329,flight schedul pm departur still say time plane gate updat long delay,0
330,group got cancel flightlat fee waiv ticket book rep help either,0
331,got pm newark home la folk ewr incred letsgohom,1
332,fli lax sfo look awesom movi lineup actual wish long haul,1
333,thank,1
334,thank take care mr happi custom,1
335,still refund word via dm pleas resolv issu cancel flightl flight useless assist trip,0
336,delay due lack crew delay long line deic still need improv servic unit,0
337,thank fill luck common,1
338,eri ord express connect huge popular could eri ewr hop,0
339,think board flight au earli think,0
340,gate agent hook altern flight way prevent constant issu would rock,0
341,thank,1
342,thank ticket,1
343,worst nonrefund first class ticket oh select global fc system auto select economi w upgrad,0
344,buy tix day flight transfer tix flaw secur logic flaw custom servic,0
345,start claim week unrealist realli suppos go long car seat child ridicul,0
346,follow pleas airlin beautiful,1
347,car seat lost reimburs new one not pair shoe necess child,0
348,total suck cousin work phl said,0
349,want let know wonder rosetta gate agent work flight dan ase let know wasappreci,1
350,begin feb call unit said would send anoth voucher mail never got anyth tiredofwait,0
351,internet great thing email execut compani mayb respond time manner,0
352,that weak see ya hey,0
353,flew back w compani sinc unit didnt earlier flight,0
354,tri book award septemb need flight not show even w mani award seat availab,0
355,sure drive total hour get bag like explain debacl one want talk,0
356,see told repeatedli pilot late flight kept get late flightr board defibril issu,0
357,prefer secur line anymor tsa pre check pull partner flight platinum spoil,0
358,newarkliberti airport need indic differ gate termin amp c flyingainteasi,0
359,ye pleas newli marri tri updat last name preexist intern flight seem easi,0
360,unit refus reissu lost voucher plane take due mechan badcustomerservic,0
361,also run instruct shatter comput,0
362,ye agent last minut one agent rude thank ladan nice,0
363,iah charlott baggag claim rep latric h customerservic non exist ignor custom inappropri touch custom,0
364,thank help got need issu guess sit awhil longer,1
365,would love respond websit saw realli long form busi new seat bad,0
366,refund flight voucher anoth flight differ airlin expens today hour drive inconveni,0
367,not receiv call back day infant car seat suppos go anywher child,0
368,well sit ground time wait gate tiredofthi,0
369,airport snow remov method keep good work folk cessna becom,1
370,need guy not book plane not concern travel someon els move forward,0
371,measli e certif not appreci loyal custom wait hr tarmac ua unaccept,0
372,email address usernam sign avail,0
373,thank abl claim interim expens cost stuff,1
374,rude rude,0
375,get board pass austrian airlin codeshar flight rebook incl hour layov amp stuck outsid sec,0
376,receiv flight unit truli break guitar unitedbreaksguitar wantmymoneyback,0
377,flew telaviv paid third suitcas even make plane besid impolit servic,0
378,bag still colo spring disabl search unfamiliar airport look bag not good outcom,0
379,shame flex ticket transfer rule even call neurosurgeri icu enough,0
380,denver said handl baggag made colo spring gave number call help either,0
381,guy need seriou train custom servic mani better option put way guy handl ur mistak,0
382,found problem avoid like plagu told find supervisor,0
383,zcc u cancel flight flight h advanc need connect flight reschedul link help help gf wait month see,0
384,not fli,0
385,addit first flight delay hour arriv destin hr late flight,0
386,flew unit last month experi awesom,1
387,travel book thru unit group dept okc ticket agent less will help connect lax,0
388,v upset disabl servic told one employe carri medic equip rude,0
389,thnx quick repli think assist intl grp put consider inconveni today,0
390,wont transfer flight ticket accompani yr old activ militari mom emerg brain surgeri wow,0
391,week late flightr still not receiv mile mileageplu gift card starbuck card hand,0
392,k alway hope improv,0
393,not yet complain guy check luggag throw bag around unfortun coincid hope,0
394,okc ticket agent roger mclarren sp less help intl group travel problem find supervisor help,0
395,mobil app need construct ground os categori expens get right,0
396,anoth fail unit ticket agent okc less help could care less problem american come,0
397,also work wc coach good thing bird land ahead schedul use wc stat,1
398,sent email custom care tell may break sincer hope help,0
399,silli fli delta today unit club staff attend surli unhelp alway seem bother peski folk,0
400,phone number find call flight reserv,0
401,well fix miss buddi th bday neglig attempt make,0
402,believ help custom servic like said want number someon fix,0
403,help baggag servic desk said bc tsa screen fll not bag made bag ewr,0
404,mobil board pass disappear phone stand line board second time week hmm,0
405,record rozana newark love help choosekind,1
406,thx updat,1
407,explain eager flight attend tri ask vision not guid dog,0
408,point ask detail servicedog book flight crew read continu,0
409,tri one avail bogota everyon rude houston stuck hour guy,0
410,worst unitedflightsev ua la iad mechan problem took land fix delay wtfodd,0
411,despit bag not make newark good inform email track updat help,1
412,go ua outbound flight last thur delay hr long delay worst unitedflightsev,0
413,worst unitedflightsev ua iad la mechan problem switch aircraft delay hour,0
414,crash tri check,0
415,wow deal plu seat avail easi chang make custom happi,1
416,logan board gong show due lax carri enforc bin full coat room bag u need better system,0
417,blackmail pay extra return ticket nullifi san francisco airport terribl servic rep scam,0
418,disappoint u didnt honor credit given ur mistak take busi elsewher,0
419,ua still wait suppos depart,0
420,credit last trip never came mail,0
421,ok month wait hear airlin gave quit bit day request terribl servic,0
422,process ever end still wait repli sinc month pathet customerservic,0
423,go websit flight book problem three ticket today boot system umpteen time,0
424,get account number websit say email unavail,0
425,receiv bag last night still miss one,0
426,need upgrad seat even economi plu like sit concret bench,0
427,nd flight also delay pilot board sit schedul,0
428,hard stay upset someon least tri show remors,0
429,way simpl apolog goe long way even hollow one obviou care well,0
430,one time thing either shock pattern repeat neglect disrespect,0
431,finger cross amp intact disappoint experi actual say enjoy use,0
432,incred easi fix would rather stay comfort zone get forc mine,0
433,juli zero excus date system caus problem like,0
434,everyon around us sit friend famili member book ticket octob decemb bought,0
435,not sure talk go nonstop flight sna sfo sfo ewr,0
436,move talk servic,0
437,ask legitim question systemwid vs local problem got back unrel flightd copi past better,0
438,time call need ski go airport get faith unit,0
439,see guy amaz one compani continu make mistak yet fail held account error,0
440,yeah sorri alway problem unit intern reput problem,0
441,mayb would care hear went whoever listen issu caus,0
442,wonder share fb insta would produc number charact realli limit stori tell,0
443,tell number call left airport neglig pilot staff,0
444,could email resent doesnt appear arriv,0
445,follow order dm come,0
446,unit coupon make broken entertain system hour flight serious ridicul learncustomerservic,0
447,drop bag overnight amp leav week suppos hold bag,0
448,dm detail still respons book today,0
449,not abl dm confirm number,0
450,sent messag let know got not twitter liter also realli go stuck hr,0
451,unhappi respons complaint email nd feb ref aw custom servic,0
452,privat jet would cool not work tri,1
453,not given option use unit travelbank recent flight book problem help use recoup fund thank,0
454,common keep paper work readi delay flight meet,0
455,yep correct got email flight cancel flightl matter flight atl delay thx,0
456,k problem get fll iah sent dm make connect pleas let know,0
457,thank sent,1
458,ground montreal ua miss connect ua st loui help privat jet,0
459,frustrat nervou,0
460,one make difficult,0
461,not child someon issu fli prepar ahead time reduc distress caus plane,0
462,get cancel flightl hour take,0
463,alway happen guy make travel incred stress uncomfort good busi,0
464,someon sever anxieti one person help next,0
465,seek go client b c u cant get need refund fill form not confid work past indic,0
466,unrival access california flight u uk airport nonstop one stop connect year round,1
467,luckili made flight time disappoint lack commun,0
468,check see flight atl ord got cancel flight,0
469,servic far horrid want end trip high note guess not option,0
470,book flight home month ago request seat togeth fianc e got middl seat unaccept,0
471,guy horribl,0
472,thnx info,1
473,pay wifi intern busi ticket pennypinch,0
474,ok top thing lost luggag could get wors unitedairlin,0
475,kudo not cancel flightl flight dfw morn unit usual first panic,1
476,luggag broken youcouldntmakethi brokenwheel,0
477,mayb one day one quot,0
478,flight delay one rememb turn heat flight leav ord serious,0
479,anoth awesom new plane flight extrem nice captain steve connolli,1
480,speak real person get resolv polit effici,0
481,file refund claim told charg dm disput bank henc would like,0
482,bag make flight iad second day without cloth pretti inconveni pretti curiou unitedairlin,0
483,everi unit flight saipan guam adventur never know old plane oper,1
484,henc ask custom servic phone number speak real person get sort,0
485,bag leav washington yet would conveni see left day ago unitedairlin lostluggag,0
486,accord dm not owe refund pleas may provid contact number go bank file claim,0
487,hour ago need work bag make hotel time need go elsewher,0
488,pl properli train agent request speak k custom servic amp transfer dead end not even open hr,0
489,thank rememb load bag onto connect flight oh wait forgot iceland fun cloth,0
490,thank chees platter abund entertain option time flew,1
491,custom servic atroci disrupt travel plan lost luggag imposs talk human,0
492,termin mia food open esp flight two hour earli like recommend eat,0
493,ua flight current stuck portland miss ride hour delay getmartyhom,0
494,not respond variou request contact number anyon know uk custom servic number unitedairlin,0
495,look get bag lusaka,0
496,could updat suitcas pleas onlin phone track told noth told back yesterday,0
497,thank tri two day set,1
498,last thing u guy charg drink transatlant flight,0
499,lhr arriv loung fail wait min shower left find hotel u know mani passeng u carri plan,0
500,complet form doubt use ua care day vacat sure ua feel respons,0
501,definit compliment realli thought bag lost sent anoth airport end happi custom,1
502,thanx much follow email ticket voucher unitedairlin care,1
503,definit trip rememb ewr sti second season first seat pay loyal,1
504,nope told us time go home sleep airport even though assur us would get room,0
505,back expens holiday work year pay ruin want compens amp origin case back,0
506,thank unit understand would actual like bag back done also want money,0
507,frankli wors custom servic ever problem happen deal defin compani never unit,0
508,still valid flight seem strang delay late flight inbound crew hour plane alreadi,0
509,thank lack help can respons k desk,0
510,bad ua anoth unforese oper issu return flight,0
511,pay luggag deliv arriv wait addit day deliveri,0
512,hotel peopl feel like held hostag someon board pass leav fail,0
513,one great airlin,1
514,outbound bag lb bag return home bag lb logic write machin human help requir,0
515,like hear poor experi pleas share detail w custom care team,0
516,cancel flightn left us fend flt came late flight get runaround hr employe blame previou,0
517,okay ase find luggag,0
518,agent met us gate said issu w delay ua would taken onlin,0
519,not ladi one phone say tel aviv tel aviv unit say newark one know noth,0
520,see kn run plane run thank help,1
521,ye still answer mani not luggag day unaccept,0
522,go noth like alway,0
523,plu food taxi,0
524,offer us room peopl fail,0
525,peopl get pretti tire action solv problem plu miss day vacat ski,0
526,bright side would keep promis made hope good night thank,0
527,take back comment team work hard help us far solut hotel food anyth fail,0
528,arriv two hour late flight clt sit tarmac move plane gate unhappi custom,0
529,airlin absolut worst idea neveragain unitedairlin,0
530,thank might want fix line custom care team current respond inquiri within busi day,0
531,flew unit au austin bergstrom cancun intl best flight ever not big not small,1
532,frustrat frequent flyer loyal sinc continent upgrad equal pay time top purchas ticket,0
533,wors figur pack plane screw connectn claim hotl room san fran strand pax way go,0
534,passeng hour delay flight left hotel end night hou airport wtf,0
535,hey flight iah po leav late flight one back iah earli rather get po earlier,0
536,lost bag process broken agent promis call amp hold bag found wake w deliveri fail,0
537,peopl counter help see nobodi flight austin still sit,0
538,regret hear pleas let us know need assist kn final abl secur seat thx,0
539,good know open close door premier passeng safeti brief delay flight annoy,0
540,yea get phoenix alreadi delay day peopl bullshit,0
541,consol staff stellar not hour delay encount everi one flight,0
542,flight ua gate b tell ray somehow made flight iah wait one,1
543,unfortun xma gift look like razor rip right front pocket pictur,0
544,thank ask,1
545,lost bag cancel flightl flight delhi call center poor unit staff spread thin stress name,0
546,ye make mistak less absurd chang fact inconveni miss luggag tonight,0
547,constantli challeng upgrad amp charg order prevent dvt pay addtl,0
548,ord wait min crew member left gate item came flight attend sarcast said good luck walk away,0
549,,1
550,favorit airlin,1
551,serious fail make stranger share room,0
552,need asap make today flight,0
553,agent split reserv cancel flight refund credit wk,0
554,would make share room,0
555,tri call w min phn wait mean miss option anyway,0
556,ask guy flight bwi wait us get delay flight san diego pretti pleas,0
557,still wait find rep work hard upset wait tomorrow pm get mammoth,0
558,earli flt think call appropri ye review nada avail next day expect full refund,0
559,ask call get fix tweet bs question stall make thing wors phone number pleas,0
560,yo yo yo stuck tarmac hour ohar go miss ride help pleas helpimstuck unit,0
561,highli unprofession overbook flight seat amp feel rearrang schedul mismanag,0
562,well consid everi agent claim unabl help everyth els wast time hear call corp,0
563,man wait book ticket thank jp life sabe,1
564,ice total understand larg number us face hour time overnight cancel flightat seem like,0
565,flt cancel flightl get email happen courtesi phn call book diff airlin amp citi,0
566,tag number let find bag,0
567,better train support staff appropri decorum consid revisit terribl provid death certif polici,0
568,well bar set low guy realli good apolog game chang u guy learn,0
569,guy continu impress houston,1
570,way make phone call need handl via twitter email web thank,0
571,websit deserv new design html ftw,0
572,thank ef holiday miss full day ski due baggag team incompet,0
573,agent help person front finish walk away guy behind shock,0
574,connect ord exact plane check carri appar taken amp left chicago pretti ridicul,0
575,not encourag cpap tonight,0
576,ye file claim soon carousel stop without bag got email found not sched deliveri,0
577,delay den cle manual enter baggag tag realli worst cust servic day ker friendlyski,0
578,tell us flight delay tell us time min spare say delay unless sure,0
579,ye lusaka zambia guess bag never made plane iad,0
580,late flight denver late flight newark let not even get disast check bag unaccept,0
581,let think ever flown not problem worst airlin period,0
582,ye file claim amp hope receiv luggag ridicul purchas item go sleep amp reimburs,0
583,ua ord lhr bag load min late flight frigid air cabin plane feel like fall apart upgrad long haul fleet,0
584,flight attend never serv beverag tea not check give ua notcool,0
585,load balanc system appar systemwid major impact unit airlin flight cyberattack,0
586,unschedul refuel stop miss connect flight r home n look ward bed big pb amp j sandwich,0
587,spent hundr rectifi situat guy go quiet,0
588,ua sit ewr nearli hour sked pilot say comput clue leav help,0
589,end come travel liter extra day half,0
590,made upgrad list fli st tomorrow min first time ever statusmatchpaidoff,1
591,not refund us vacat get free room night make make us sleep dia,1
592,thank remind fun ride,1
593,receiv luggag also look left snow arriv ask peopl refund,0
594,updat aircraft wifi devic entertain outlet get charg devic,0
595,one scan insid plane ask peopl line around plane go,0
596,gate chang two delay even crew think airlin suck,0
597,frustrat wast day due equip failur,0
598,comput stop give updat took flight info app ridicul keep peopl updat,0
599,soooo day offer respons assum poor treatment gate agent norm,0
600,terrif mani thank look forward back ua tomorrow great flight vancouv,1
601,call result hr hold time amp day wait check suspect code share fare noth investig time wast,0
602,taken week cust care respond case request refund wi fi not work get updat,0
603,appreci effort get home,1
604,correct spent hour tri book onlin receiv error click final purchas button,0
605,today not finest could prevent one gate agent advis passeng,0
606,real deal delay flight ua denver vega,0
607,ua madrid arriv agent mass confus sent fro ua employe maryjo rude unhelp,0
