,airline_sentiment,text
123,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
124,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
125,positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
126,negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
127,negative,@VirginAmerica you suck!
128,positive,@VirginAmerica thanks!
129,negative,@VirginAmerica Just DM'd. Same issue persisting.
130,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
131,negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
132,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
133,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
134,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
135,negative,@VirginAmerica Your website is down and I'm trying to check in!
136,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
137,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
138,positive,@VirginAmerica Keep up the great work :)
139,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
140,positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
141,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
142,negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
143,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
144,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
145,positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
146,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
147,negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
148,negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
149,negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
150,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
151,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
152,negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
153,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
154,positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
155,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
156,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
157,negative,@VirginAmerica hold times at call center are a bit much
158,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
159,negative,@VirginAmerica Site down? #help
160,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
161,positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
162,positive,@VirginAmerica thanks so much!
163,negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
164,positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
165,positive,@VirginAmerica Very nicely done. 👏
166,positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
167,negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
168,negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
169,positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
170,positive,@VirginAmerica sounds like fun !
171,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
172,negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
173,positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
174,negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
175,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
176,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
177,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
178,negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
179,negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
180,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
181,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
182,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
183,positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
184,negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
185,negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
186,negative,@VirginAmerica there is something wrong with you website in Safari iPhone
187,positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
188,negative,@VirginAmerica Already checked in so the page expired :X
189,negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
190,positive,@VirginAmerica I see what you did there ;)
191,positive,@VirginAmerica your inflight team makes the experience #amazing!
192,positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
193,negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
194,positive,@VirginAmerica fav airline
195,positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
196,negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
197,positive,@VirginAmerica Thank you!!
198,negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
199,negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
200,negative,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
201,negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
202,negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
203,positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
204,negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
205,negative,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
206,positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
207,negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
208,negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
209,positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
210,positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
211,positive,@VirginAmerica happy to spend the day together. Let's do this!
212,positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
213,positive,@VirginAmerica thank you! I absolutely will 😎
214,negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
215,negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
216,negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
217,negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
218,negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
219,positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
220,positive,@VirginAmerica @SSal thanks!
221,negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
222,positive,@VirginAmerica Thanks!
223,positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
224,positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
225,negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
226,negative,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
227,negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
228,positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
229,positive,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
230,negative,@VirginAmerica trying to check-in...but looks like your site is down?
231,negative,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!"
232,negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
233,positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
234,negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
235,negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
236,negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
237,negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
238,negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
239,negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
240,negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
241,positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
242,positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
243,positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
244,positive,@VirginAmerica ok! first time flying with you tonight :)
245,negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
246,negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
247,negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
248,positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
249,negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
250,negative,@VirginAmerica delayed to10.30!!
251,negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
252,positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
253,positive,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
254,negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
255,positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
256,positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
257,positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
258,negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
259,positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
260,positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
261,positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
262,positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
263,negative,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
264,positive,@VirginAmerica thank you
265,negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
266,positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
267,negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
268,negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!
269,positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
270,positive,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!
271,positive,@VirginAmerica great. Well deserved.
272,negative,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
273,negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
274,negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
275,negative,@VirginAmerica all crap channels which is why I pay to watch UK tv
276,positive,@VirginAmerica got it. All set - Thanks!
277,positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
278,positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
279,negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
280,negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
281,negative,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
282,positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
283,positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
284,negative,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
285,positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
286,positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
287,positive,@VirginAmerica OMG FINALLY
288,negative,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
289,negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
290,positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
291,positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
292,positive,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes."
293,positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
